k1_pop,1,-0.460629,-0.529084,0.120144,-0.0390633,-0.106784,0.0395137,0.0197544,0.104354,0.114747,0.0577414,-0.0159776,-0.646359,-0.0516099,-0.0373089,0.000309067,nan,0.0376782,0.0750234,-0.0751749
beta_k1_Infection_Late,-0.460629,1,0.46722,-0.0556872,0.037174,-0.104206,0.122937,0.0267922,0.083164,0.0787847,-0.0103411,0.0328132,-0.0364614,-0.164062,0.0450556,0.0409445,nan,-0.0508604,-0.00874971,-0.0442283
beta_k1_Infection_Uninfected,-0.529084,0.46722,1,0.00011243,-0.00487027,0.0553326,0.0150828,-0.0352889,0.00206988,-0.0721255,-0.0117517,0.018554,0.0166522,-0.0481612,0.124172,-0.138459,nan,0.0051776,-0.0344975,0.00704667
k2_pop,0.120144,-0.0556872,0.00011243,1,-0.70164,0.0582983,-0.127272,-0.122929,-0.0801196,0.0479782,-0.229075,0.0718758,0.0193813,0.0835791,0.0492368,-0.272387,nan,0.0886107,0.0168365,-0.140935
beta_k2__1st_Booster_vaccine_type_Pfizer,-0.0390633,0.037174,-0.00487027,-0.70164,1,0.0826688,-0.0369772,-0.0826483,-0.0890805,-0.023489,-0.0175085,0.079951,0.00317022,0.0346967,-0.08466,0.0251204,nan,0.0373324,-0.0111883,0.0453464
k3_pop,-0.106784,-0.104206,0.0553326,0.0582983,0.0826688,1,-0.756824,-0.672239,-0.84329,-0.619199,-0.200836,0.0238233,0.0535565,0.363968,-0.148327,-0.213261,nan,0.12407,0.0286082,-0.036897
beta_k3_Gender_Male,0.0395137,0.122937,0.0150828,-0.127272,-0.0369772,-0.756824,1,0.613266,0.716952,0.188025,0.289123,-0.0229273,-0.0820587,-0.441729,0.202854,0.163635,nan,-0.292593,-0.0372943,0.143482
beta_k3_Infection_Late,0.0197544,0.0267922,-0.0352889,-0.122929,-0.0826483,-0.672239,0.613266,1,0.708257,0.0709542,0.42869,-0.24613,-0.0015236,-0.394403,0.117858,0.283129,nan,-0.253504,-0.0215309,0.211929
beta_k3_Infection_Uninfected,0.104354,0.083164,0.00206988,-0.0801196,-0.0890805,-0.84329,0.716952,0.708257,1,0.313873,0.371301,-0.125872,-0.0829862,-0.398599,0.158903,0.172415,nan,-0.17704,0.0165412,0.113119
beta_k3_age_cat___60,0.114747,0.0787847,-0.0721255,0.0479782,-0.023489,-0.619199,0.188025,0.0709542,0.313873,1,-0.108155,0.136593,-0.00852057,-0.0596228,0.0579713,0.0751589,nan,0.0905625,-0.0288557,-0.109992
k4_pop,0.0577414,-0.0103411,-0.0117517,-0.229075,-0.0175085,-0.200836,0.289123,0.42869,0.371301,-0.108155,1,-0.746671,-0.0737475,-0.294102,0.155556,0.218043,nan,-0.314768,0.0271754,0.310822
beta_k4_Gender_Male,-0.0159776,0.0328132,0.018554,0.0718758,0.079951,0.0238233,-0.0229273,-0.24613,-0.125872,0.136593,-0.746671,1,0.0200471,0.190106,-0.142142,-0.163962,nan,0.175593,0.0289981,-0.203114
A0_pop,-0.646359,-0.0364614,0.0166522,0.0193813,0.00317022,0.0535565,-0.0820587,-0.0015236,-0.0829862,-0.00852057,-0.0737475,0.0200471,1,0.0352991,0.0333291,-0.0195792,nan,0.0328824,-0.121067,0.0208844
omega_k1,-0.0516099,-0.164062,-0.0481612,0.0835791,0.0346967,0.363968,-0.441729,-0.394403,-0.398599,-0.0596228,-0.294102,0.190106,0.0352991,1,-0.494513,-0.191094,nan,0.112013,0.563699,-0.184524
corr_k1_A0,-0.0373089,0.0450556,0.124172,0.0492368,-0.08466,-0.148327,0.202854,0.117858,0.158903,0.0579713,0.155556,-0.142142,0.0333291,-0.494513,1,-0.0566524,nan,-0.0750282,-0.572512,0.0480714
omega_k2,0.000309067,0.0409445,-0.138459,-0.272387,0.0251204,-0.213261,0.163635,0.283129,0.172415,0.0751589,0.218043,-0.163962,-0.0195792,-0.191094,-0.0566524,1,nan,-0.122346,-0.00818049,0.0396348
omega_k3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_k4,0.0376782,-0.0508604,0.0051776,0.0886107,0.0373324,0.12407,-0.292593,-0.253504,-0.17704,0.0905625,-0.314768,0.175593,0.0328824,0.112013,-0.0750282,-0.122346,nan,1,-0.0335738,-0.137355
omega_A0,0.0750234,-0.00874971,-0.0344975,0.0168365,-0.0111883,0.0286082,-0.0372943,-0.0215309,0.0165412,-0.0288557,0.0271754,0.0289981,-0.121067,0.563699,-0.572512,-0.00818049,nan,-0.0335738,1,-0.130029
b,-0.0751749,-0.0442283,0.00704667,-0.140935,0.0453464,-0.036897,0.143482,0.211929,0.113119,-0.109992,0.310822,-0.203114,0.0208844,-0.184524,0.0480714,0.0396348,nan,-0.137355,-0.130029,1
