k1_pop,0.00281738,-0.000808382,-0.000831952,-0.00135878,-0.000398669,3.06684e-05,0.000271524,0.0026292,-0.00171209,0.00103375,0.00253352,-0.00196109,-0.000517266,nan,0.00031343,0.000224406,-0.00811869,-6.87072e-05,0.00067167
beta_k1_Infection_Late,-0.000808382,0.00113658,0.000594647,0.000840504,0.000287014,6.38076e-05,-0.000265401,-0.00100697,0.00060524,0.000515053,-0.00127234,0.000203574,0.000232725,nan,-0.000308979,-4.98569e-05,0.00211571,9.77129e-05,-0.000810924
beta_k1_Infection_Uninfected,-0.000831952,0.000594647,0.0013205,0.00332793,-0.00226608,0.000122638,-0.000182135,-0.000924752,0.000896922,-0.00663888,0.00334056,0.000262785,8.04964e-05,nan,0.000101604,-0.000285123,0.0068873,3.68606e-05,0.000183194
k2_pop,-0.00135878,0.000840504,0.00332793,0.108604,-0.0858081,-0.00321428,0.00285052,-0.0142765,0.0157043,-0.103396,0.0565082,0.00247524,0.000310741,nan,-0.00609166,-0.00513997,0.123405,4.2046e-05,0.00859732
beta_k2__1st_Booster_vaccine_type_Pfizer,-0.000398669,0.000287014,-0.00226608,-0.0858081,0.0882144,0.00055535,-0.000693029,0.00245758,-0.00567266,0.0835872,-0.05915,-0.0006337,0.000704,nan,0.00103865,0.0036164,-0.0651177,5.03395e-05,-0.0107538
k3_pop,3.06684e-05,6.38076e-05,0.000122638,-0.00321428,0.00055535,0.00230635,-0.00152302,0.00205688,-0.002828,-0.00150203,0.00534695,-0.000241539,-0.000282677,nan,0.000731021,4.68773e-05,-0.00954272,-0.000130331,0.00264286
beta_k3_Infection_Late,0.000271524,-0.000265401,-0.000182135,0.00285052,-0.000693029,-0.00152302,0.00333023,0.000382153,0.000524953,0.00362663,-0.00766723,2.73245e-05,0.000179107,nan,-0.000464537,-8.50641e-05,0.00628226,0.000154264,-0.00220843
beta_k3_Infection_Uninfected,0.0026292,-0.00100697,-0.000924752,-0.0142765,0.00245758,0.00205688,0.000382153,0.0193936,-0.0113243,0.0121279,0.00710859,-0.00210059,-0.00104815,nan,0.00191463,0.000676723,-0.0549657,6.01013e-05,0.0042011
beta_k3__1st_Booster_vaccine_type_Pfizer,-0.00171209,0.00060524,0.000896922,0.0157043,-0.00567266,-0.002828,0.000524953,-0.0113243,0.0105438,-0.0215866,0.00356043,0.00149687,0.0005832,nan,-0.00168724,-0.00144328,0.0504995,-2.79294e-05,-0.0013022
k4_pop,0.00103375,0.000515053,-0.00663888,-0.103396,0.0835872,-0.00150203,0.00362663,0.0121279,-0.0215866,0.449884,-0.358185,-0.00124591,0.00325666,nan,-0.00213191,0.0121316,-0.227591,0.000923758,-0.0383526
beta_k4__1st_Booster_vaccine_type_Pfizer,0.00253352,-0.00127234,0.00334056,0.0565082,-0.05915,0.00534695,-0.00766723,0.00710859,0.00356043,-0.358185,0.406206,-0.00172046,-0.00419377,nan,0.00204837,-0.00660249,0.0763429,-0.00151367,0.0330988
A0_pop,-0.00196109,0.000203574,0.000262785,0.00247524,-0.0006337,-0.000241539,2.73245e-05,-0.00210059,0.00149687,-0.00124591,-0.00172046,0.00178696,0.000201243,nan,-0.000345362,-0.000189763,0.00812036,-0.000111377,0.000204817
omega_k1,-0.000517266,0.000232725,8.04964e-05,0.000310741,0.000704,-0.000282677,0.000179107,-0.00104815,0.0005832,0.00325666,-0.00419377,0.000201243,0.00119356,nan,-0.000424332,6.30683e-05,0.000577868,0.000816899,-0.00359255
corr_k1_A0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_k2,0.00031343,-0.000308979,0.000101604,-0.00609166,0.00103865,0.000731021,-0.000464537,0.00191463,-0.00168724,-0.00213191,0.00204837,-0.000345362,-0.000424332,nan,0.00745586,0.000195991,-0.00681381,-3.70824e-05,-0.00154468
omega_k3,0.000224406,-4.98569e-05,-0.000285123,-0.00513997,0.0036164,4.68773e-05,-8.50641e-05,0.000676723,-0.00144328,0.0121316,-0.00660249,-0.000189763,6.30683e-05,nan,0.000195991,0.000896977,-0.0128758,2.82408e-05,-0.00167692
omega_k4,-0.00811869,0.00211571,0.0068873,0.123405,-0.0651177,-0.00954272,0.00628226,-0.0549657,0.0504995,-0.227591,0.0763429,0.00812036,0.000577868,nan,-0.00681381,-0.0128758,0.399347,-0.00121945,0.0173675
omega_A0,-6.87072e-05,9.77129e-05,3.68606e-05,4.2046e-05,5.03395e-05,-0.000130331,0.000154264,6.01013e-05,-2.79294e-05,0.000923758,-0.00151367,-0.000111377,0.000816899,nan,-3.70824e-05,2.82408e-05,-0.00121945,0.000843039,-0.00284658
a,0.00067167,-0.000810924,0.000183194,0.00859732,-0.0107538,0.00264286,-0.00220843,0.0042011,-0.0013022,-0.0383526,0.0330988,0.000204817,-0.00359255,nan,-0.00154468,-0.00167692,0.0173675,-0.00284658,0.0989601
